Item Code,Lot Number,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE
510561VTAK2B00,T434EDB,56,High,Rings,10000,Necklace,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0561VTA.jpg
510561VTAM2B00,T434EDO,39.52,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0561VTA.jpg
51D2A2CIHGAA00,T434EMU,39.72,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2CIH.jpg
51D2A3CGIMAA00,T557EIO,46.64,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A3CGI.jpg
511419COBIAA00,T557EIQ,46.62,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1419COB.jpg
511100CHFEAA00,T559EFT,38.5,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1100CHF.jpg
514115CPCIAA00,T561ECT,47.21,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=4115CPC.jpg
512219CQWGAA00,W1D12FO,54.61,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2219CQW.jpg
51D2A2CLOMAA00,W1D1EBO,26.41,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2CLO.jpg
511178VHIU1B00,W1D1EIJ,46.69,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1178VHI.jpg
513018CULGAA00,W1D1ENZ,33.24,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3018CUL.jpg
512219CQXGAA00,W1D1EPE,32.32,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2219CQX.jpg
511099FKEWAA00,W1D1EPG,49.2,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1099FKE.jpg
511036CTNDAA00,W2A1EVJ,44.6,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1036CTN.jpg
51F1KPCVDKAA00,W2A2EDQ,58.45,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=F1KPCVD.jpg
512016FPZNAB00,W2A2EDS,42.05,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2016FPZ.jpg
512515VAYS2A00,W2A2EDW,57.81,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2515VAY.jpg
513017VSNS2A00,W2A2EHW,53.17,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3017VSN.jpg
513017VSNQ1A00,W2A2EJX,39.08,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3017VSN.jpg
512814CANGAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2814CAN.jpg
513017CROFAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3017CRO.jpg
513018CUMGAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3018CUM.jpg
511107CTDMAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1107CTD.jpg
511030FBDNAB00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1030FBD.jpg
512515VAYR2A00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2515VAY.jpg
513017CVDMAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3017CVD.jpg
512515VAYQ2A00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2515VAY.jpg
513515CLQGAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3515CLQ.jpg
511038CUCIAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1038CUC.jpg
511038CTWMAA00,W2BH2LD,57.02,High,Rings,10000,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1038CTW.jpg
510567VYAS1B00,W2BH2LD,58.02,High,Rings,10001,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0567VYA.jpg
510805SOAABB00,W2BH2LD,59.02,High,Rings,10002,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0805SOA.jpg
51T557CIIIAA00,W2BH2LD,60.02,High,Rings,10003,Ring,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=T557CII.jpg
