Item Code,AG,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE
516061VAJE1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,10.19,RE,Unified Region Sales229-National Sales911,99230.67,Category 4102,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=6061VAJ.jpg
516061VAGE1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,8.37,RE,Unified Region Sales266-National Sales882,81476.47,Category 4099,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=6061VAG.jpg
50D2D2VHYE1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,7.18,RE,Unified Region Sales311-National Sales865,56024.14,Category 5107,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D2VHY.jpg
50D2D2VHVA1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,6.77,RE,Unified Region Sales59-National Sales178,52795.12,Category 5104,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D2VHV.jpg
51D2D1VEGA1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,10.8,RE,Unified Region Sales80-National Sales238,99315.19,Category 4976,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D1VEG.jpg
51D2D2VHTA1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|OVAL|_,8.54,RE,Unified Region Sales91-National Sales323,78525.3,Category 5103,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D2VHT.jpg
51D2P1VALQ2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,14.09,Low,Unified Region Sales31-National Sales101,122137.54,Category 5340,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2P1VAL.jpg
51D3A1VOER1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,10.83,RE,Unified Region Sales106-National Sales278,99581.85,Category 5632,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3A1VOE.jpg
51D2D1VYKR1A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,27.08,RE,Unified Region Sales13-National Sales66,254679.13,Category 5032,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D1VYK.jpg
51D2P1VAJQ2A00,EVERYDAYS|GOLD PLAIN|BANGLE|A|MODERN|ROUND|_,17.32,RE,Unified Region Sales26-National Sales140,154043.14,Category 5338,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2P1VAJ.jpg
