Item Code,Lot Number,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE
51G2PTFJRWAA00,L001,10,High,Group A,500,Category 1,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=G2PTFJR.jpg
511819HIGAAA00,L002,20,Medium,Group B,700,Category 2,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1819HIG.jpg
50O2JA2GIABA10,L003,30,High,Group A,900,Category 3,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=O2JA2GI.jpg
512411PEDAAA00,L004,40,Medium,Group B,1100,Category 4,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2411PED.jpg
51D4A1FCXLAA00,L005,50,High,Group A,1300,Category 5,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4A1FCX.jpg
511036CTDGAA00,L006,60,Medium,Group B,1500,Category 6,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1036CTD.jpg
50D3PTSGPAGA09,L007,70,High,Group A,1700,Category 7,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTSGP.jpg
51W2PT2KL1BA00,L008,80,Medium,Group B,1900,Category 8,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W2PT2KL.jpg
50D4B3VLEA1A02,L009,90,High,Group A,2100,Category 9,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B3VLE.jpg
51D2A2YFQGAA00,L010,100,Medium,Group B,2300,Category 10,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2A2YFQ.jpg
51D1SCBCNBAA00,L011,110,High,Group A,2500,Category 11,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D1SCBCN.jpg
500067FYAMAA12,L012,120,Medium,Group B,2700,Category 12,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0067FYA.jpg
51D3D2CGJGAA00,L013,130,High,Group A,2900,Category 13,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D2CGJ.jpg
51D3D2VBSS4A00,L014,140,Medium,Group B,3100,Category 14,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D2VBS.jpg
SLS3BBFAONAU81,L015,150,High,Group A,3300,Category 15,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=S3BBFAO.jpg
51D3D2DZHABA00,L016,160,Medium,Group B,3500,Category 16,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D2DZH.jpg
50D2D2PRWAAA09,L017,170,High,Group A,3700,Category 17,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D2PRW.jpg
51D4B2CBNGAA00,L018,180,Medium,Group B,3900,Category 18,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B2CBN.jpg
510783PRAAAA00,L019,190,High,Group A,4100,Category 19,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0783PRA.jpg
501054FAMMAC02,L020,200,Medium,Group B,4300,Category 20,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1054FAM.jpg
502015FBFMAB02,L021,210,High,Group A,4500,Category 21,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2015FBF.jpg
51D1D2DENABAPL,L022,220,Medium,Group B,4700,Category 22,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D1D2DEN.jpg
51D3D2VBZR2A00,L023,230,High,Group A,4900,Category 23,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3D2VBZ.jpg
502114PAAAAC02,L024,240,Medium,Group B,5100,Category 24,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2114PAA.jpg
50D3B4PNBAAA01,L025,250,High,Group A,5300,Category 25,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B4PNB.jpg
505001PFZAAC09,L026,260,Medium,Group B,5500,Category 26,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=5001PFZ.jpg
510783CZAIAA00,L027,270,High,Group A,5700,Category 27,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0783CZA.jpg
50D5PTFTFLAA02,L028,280,Medium,Group B,5900,Category 28,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D5PTFTF.jpg
50D3PTYJREAA29,L029,290,High,Group A,6100,Category 29,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTYJR.jpg
50D3PTSZBAGA09,L030,300,Medium,Group B,6300,Category 30,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTSZB.jpg
51D2BIVEQE1A00,L031,310,High,Group A,6500,Category 31,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2BIVEQ.jpg
5110622AMAAA00,L032,320,Medium,Group B,6700,Category 32,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=10622AM.jpg
503120SEMADA09,L033,330,High,Group A,6900,Category 33,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3120SEM.jpg
512018FKBLAB00,L034,340,Medium,Group B,7100,Category 34,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2018FKB.jpg
501720PHQAAA32,L035,350,High,Group A,7300,Category 35,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1720PHQ.jpg
51G2PTFKHVAA00,L036,360,Medium,Group B,7500,Category 36,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=G2PTFKH.jpg
51D2D1VELE1A00,L037,370,High,Group A,7700,Category 37,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D1VEL.jpg
5031202KXAGA02,L038,380,Medium,Group B,7900,Category 38,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=31202KX.jpg
513018SRCABA00,L039,390,High,Group A,8100,Category 39,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3018SRC.jpg
600105ZAARAS00,L040,400,Medium,Group B,8300,Category 40,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0105ZAA.jpg
511038CTZMAA00,L041,410,High,Group A,8500,Category 41,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1038CTZ.jpg
513018VUFQ2B00,L042,420,Medium,Group B,8700,Category 42,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3018VUF.jpg
510895FLALAA00,L043,430,High,Group A,8900,Category 43,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0895FLA.jpg
502117FJXTAA02,L044,440,Medium,Group B,9100,Category 44,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2117FJX.jpg
512018DJJAGA00,L045,450,High,Group A,9300,Category 45,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2018DJJ.jpg
51W5B12NB1BA00,L046,460,Medium,Group B,9500,Category 46,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5B12NB.jpg
50D3I2FAPLAA00,L047,470,High,Group A,9700,Category 47,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3I2FAP.jpg
51D3B3CVQJAA00,L048,480,Medium,Group B,9900,Category 48,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B3CVQ.jpg
51W4PI2LH1BA00,L049,490,High,Group A,10100,Category 49,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W4PI2LH.jpg
51W5B12LT1BA00,L050,500,Medium,Group B,10300,Category 50,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5B12LT.jpg
502117VAUA1A02,L051,510,High,Group A,10500,Category 51,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2117VAU.jpg
511003DKYABB00,L052,520,Medium,Group B,10700,Category 52,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1003DKY.jpg
510115VLAS2A00,L053,530,High,Group A,10900,Category 53,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0115VLA.jpg
51D3C3BENBAA00,L054,540,Medium,Group B,11100,Category 54,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3C3BEN.jpg
51W4PI2HJ1BA00,L055,550,High,Group A,11300,Category 55,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W4PI2HJ.jpg
50D3B2PURAAA09,L056,560,Medium,Group B,11500,Category 56,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3B2PUR.jpg
50D3PIOMUAPA09,L057,570,High,Group A,11700,Category 57,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PIOMU.jpg
51D3A1CPTIAA00,L058,580,Medium,Group B,11900,Category 58,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3A1CPT.jpg
50D3PTFFJNAA09,L059,590,High,Group A,12100,Category 59,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTFFJ.jpg
510784FNALAA00,L060,600,Medium,Group B,12300,Category 60,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0784FNA.jpg
51W5B2VAUR2A00,L061,610,High,Group A,12500,Category 61,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5B2VAU.jpg
514012JBQABA40,L062,620,Medium,Group B,12700,Category 62,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=4012JBQ.jpg
511038CUBGAA00,L063,630,High,Group A,12900,Category 63,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=1038CUB.jpg
51W5A1VAIQ2A00,L064,640,Medium,Group B,13100,Category 64,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W5A1VAI.jpg
502415PQRAAC02,L065,650,High,Group A,13300,Category 65,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2415PQR.jpg
51D4B2HNGAAA00,L066,660,Medium,Group B,13500,Category 66,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B2HNG.jpg
50D1D22JVAGA09,L067,670,High,Group A,13700,Category 67,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D1D22JV.jpg
51W3B12IW1BA00,L068,680,Medium,Group B,13900,Category 68,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3B12IW.jpg
5021172MXAGA32,L069,690,High,Group A,14100,Category 69,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=21172MX.jpg
5040112DDABA02,L070,700,Medium,Group B,14300,Category 70,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=40112DD.jpg
50D3PTFATLAA09,L071,710,High,Group A,14500,Category 71,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D3PTFAT.jpg
SLS3BBFANLAT55,L072,711,High,Group A,14501,Category 72,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=S3BBFAN.jpg
513515CPUGAA00,L073,712,High,Group A,14502,Category 73,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=3515CPU.jpg
51D4B2VEFQ2A00,L074,713,High,Group A,14503,Category 74,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4B2VEF.jpg
51D4A1OEUAAA00,L075,714,High,Group A,14504,Category 75,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D4A1OEU.jpg
512714SVZABA00,L076,715,High,Group A,14505,Category 76,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2714SVZ.jpg
512016VYTS2A00,L077,716,High,Group A,14506,Category 77,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2016VYT.jpg
51D1D12AGABA00,L078,717,High,Group A,14507,Category 78,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D1D12AG.jpg
512017VQSG1A00,L079,718,High,Group A,14508,Category 79,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2017VQS.jpg
516061SDOABA00,L080,719,High,Group A,14509,Category 80,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=6061SDO.jpg
50D2D2SSIABA09,L081,720,High,Group A,14510,Category 81,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=D2D2SSI.jpg
512219VTGQ2B00,L082,721,High,Group A,14511,Category 82,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=2219VTG.jpg
500272FCANAA11,L083,722,High,Group A,14512,Category 83,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=0272FCA.jpg
