Item Code,Lot Number,Unit Weight,Complexity Code,Product Group,Stock Value,Product Category Description,IMAGE,Unnamed: 8
51W3BHDKYABA00,T434EDB,56,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDKY.jpg,'Image')
51W3BHDLCABA00,T434EDO,39.52,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDLC.jpg,
51W3BHDLDABA00,T434EMU,39.72,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDLD.jpg,
51W3BHDNIABA00,T557EIO,46.64,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDNI.jpg,
51W3BHDQNABA00,T557EIQ,46.62,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQN.jpg,
51W3BHDQSABA00,T559EFT,38.5,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQS.jpg,
51W3BHDQVABA00,T561ECT,47.21,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQV.jpg,
51W3BHDQYABA00,W1D12FO,54.61,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDQY.jpg,
51W3BHDRWABA00,W1D1EBO,26.41,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDRW.jpg,
51W3BHDSEABA00,W1D1EIJ,46.69,High,Rings,10000,Gold Jewelry,https://jewbridge.titanjew.in/CatalogImages/api/ImageFetch/?Type=ProductImages&ImageName=W3BHDSE.jpg,
